num_reproducers,right_half,diversity_radius,behavioral_entropy,generation
500,508,0.5989028003807148,2.1918470364210507,0
500,515,0.5989028003807148,2.1918470364210507,1
500,585,0.668354759527652,2.179193539447206,2
500,634,0.7318616323358822,2.1740556090364977,3
500,641,0.7904240480578592,2.1579279063137355,4
500,643,0.8442158165357748,2.164398353315909,5
500,677,0.8973392696834619,2.141408124928238,6
500,690,0.9451608641179696,2.131967065801456,7
500,666,0.9914488779869535,2.127551580621219,8
500,755,1.0393583218431963,2.1067305986271396,9
500,767,1.0755988422203318,2.0649293197669714,10
500,713,1.1184133328435253,2.0607136585708545,11
500,719,1.1536227550800937,2.0741081446341383,12
500,720,1.1897306228702724,2.0415396185419974,13
500,735,1.2301427137307832,2.0243028121528406,14
500,746,1.2667259970585092,2.0061404945630468,15
500,760,1.2919818224591924,2.0062752689204335,16
500,752,1.3260705539692903,2.0377085733190907,17
500,756,1.3629828376480717,2.063364052114616,18
500,767,1.3951422379760343,2.0948370626619828,19
500,772,1.4265690451933168,2.0946831801654335,20
500,725,1.4579393587991578,2.08874330006375,21
500,767,1.48917024143037,2.04740641406401,22
500,766,1.5169383949482738,2.004049713018393,23
500,740,1.5437107685934492,2.0037234584601955,24
500,761,1.5677000553773845,2.00902301685751,25
500,765,1.5935655651051024,2.0569892642335055,26
500,766,1.6197545564671851,2.0050532246205734,27
500,733,1.6478611719440546,2.0075366708015254,28
500,740,1.6697381493245793,2.029906668184561,29
500,788,1.6993555183931208,2.004858464926934,30
500,799,1.713437723403995,1.98287491481627,31
500,799,1.733175149768207,1.9856139406356745,32
500,785,1.7627529935684085,1.9553923358427532,33
500,792,1.7866041131645876,1.9878893188824274,34
500,772,1.8004397174575277,1.9433821961714457,35
500,741,1.827014580449466,1.9916867540975516,36
500,755,1.8539083072919686,1.9629542267845101,37
500,778,1.8742221366989138,1.9585111019578245,38
500,769,1.8977288898353526,1.9571876277621556,39
500,752,1.9133700319226776,1.9732005602220728,40
500,778,1.9409474500358301,1.950370811849985,41
500,764,1.9596865134678958,1.9169536463430443,42
500,784,1.978673918778008,1.9083373087910573,43
500,770,2.003098397831212,1.912496015281625,44
500,812,2.026012157813308,1.9176620898523942,45
500,778,2.0425106891932776,1.9034080545402687,46
500,794,2.0473516275537507,1.9459569123126976,47
500,765,2.070803359288123,1.9719769374710243,48
500,768,2.0897960201339636,1.977747582203713,49
500,754,2.10320646111095,1.9723083743559577,50
